description,fraudulent
"Director, Product Management | San Mateo, CASan Mateo, CA, United States Seeking a talented and experienced Director of Product Management to lead the design of key components of an advanced platform for video advertising. Great for a senior product leader who thrives off chalenges, builds industry-changing products, and can lead a team. The product team is a small group of smart, creative, and disciplined professionals that are eager to master challenging projects and respond well to mentorship and are accustomed to operating under a lean startup environment and practice lean software development. We labor over every product prioritization decision, and we believe in building minimal viable products. Build, measure and learn!Job Responsibilities:Build expertise of the current structure and dynamics of the digital video advertising industry, and develop a point of view about market trends and emerging opportunities.Meet frequently with customers, potential customers, and partners - to develop a deep understanding of their current business processes and product needs.Develop a comprehensive vision and roadmap for product, or suite of products. Build alignment among internal and external stakeholders around this vision. Set aggressive goals for execution, and chart progress.Lead your team of product managers to develop designs that address needs and requirements expressed by internal and external customers. Designs should be simple, minimal, extensible, consistent with existing functionality, and easy to use. Â Work with UX designers and engineers to continuously deliver new functionality, in a way that is seamlessly integrated into robust infrastructure and a beautiful user interface.Attract, hire, inspire, and grow a team of superstar product managers.Â Â ",1
"Client Services Manager - SM1San Mateo, CA#URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# is leading the way with technology that's evolving with the changing media landscape, not against it. Description The Client Services Manager will be assigned to specific accounts and be responsible for the successful and on-time execution campaigns running on the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# platform. From setting up and moderating Kick-Off-Calls through ensuring billing is complete, the campaign manager is the primary owner of the successful execution campaigns from assigned accounts. The Client Services Manager will work with media agencies and publishers as well as Account Directors and Sales Directors in the region to ensure that campaigns meet and exceed clientâ€™s expectations. The Client Services Manager may manage a coordinator, back-up Client Services Manager peer, or handle certain clientsâ€™ work on a one-off basis.Â Key responsibilities include:Maintaining strong communication and manage expectations with clients, account directors and sales to keep all stakeholders informed of campaign statusExecuting and/or ensuring that process is executed on every assigned campaign, in some cases by delegating campaign tasks to Campaign Coordinator, Ad-Operations or back-up Client Services ManagerTroubleshooting and solving common technical problems, and address client issuesMonitoring campaign performance to clientâ€™s objectives and make optimization as necessaryMaintaining and expanding client relationships; notifying stakeholders about future business opportunitiesDeveloping and maintaining expert level proficiency in the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# tool set",1
"#URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# is leading the way with technology that's evolving with the changing media landscape, not against it. Description The Client Services Manager will be assigned to specific accounts and be responsible for the successful and on-time execution campaigns running on the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# platform. From setting up and moderating Kick-Off-Calls through ensuring billing is complete, the campaign manager is the primary owner of the successful execution campaigns from assigned accounts. The Client Services Manager will work with media agencies and publishers as well as Account Directors and Sales Directors in the region to ensure that campaigns meet and exceed clientâ€™s expectations. The Client Services Manager may manage a coordinator, back-up Client Services Manager peer, or handle certain clientsâ€™ work on a one-off basis.Â Key responsibilities include:Maintaining strong communication and manage expectations with clients, account directors and sales to keep all stakeholders informed of campaign statusExecuting and/or ensuring that process is executed on every assigned campaign, in some cases by delegating campaign tasks to Campaign Coordinator, Ad-Operations or back-up Client Services ManagerTroubleshooting and solving common technical problems, and address client issuesMonitoring campaign performance to clientâ€™s objectives and make optimization as necessaryMaintaining and expanding client relationships; notifying stakeholders about future business opportunitiesDeveloping and maintaining expert level proficiency in the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# tool set",1
"Responsibilities:* Acquire and maintain a comprehensive expertise in all company componentsÂ Â  Platform, test automation, and monitoring systems currently being used.* Works closely with Development engineers and other Quality Assurance team members toÂ Â  identify, report, and troubleshoot defects to verify problem fixes in a detailed, efficient, andÂ Â  timely manner.* Ensure that new and existing product functionality are reliable, defect free and function asÂ Â  intended.* Strong analytical and problem solving skills, an ability to multitask, and work in a fast-pacedÂ Â  environment with changing priorities.* Work with QA managers and Director to develop and execute QA strategies to meetÂ Â  department and corporate's goals.* Gather and provide metrics for automation and product readiness.* Analyze gaps in #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#â€™s immune system (automated test suite) coverage.",1
"Software Engineer | Forecasting + Optimization | San Mateo, CALooking for a smart engineers to work on our next-generation data mining and forecasting platform. The role involves working with business analysts and research scientistsÂ  to build innovative forecasting and optimization solutions for online advertising; building models and algorithms to solve challenging problems such as estimating the click-through-rate of ads, estimating the cost of ad impressions, estimating the supply of different types of impressions, classifying web pages and web sites, improving online auctions, and so forth; and processing terabytes of data to extract insights using data mining, statistics, and machine learning techniques.Responsibilities:Work closely with Research scientist in building predictive models based on millions of ad transactions.Deploy statistical methods for finding structure in large data setsÂ Design A/B tests to determine effectiveness of various strategies.Â Define complex SQL and other data extraction schemes to gather and filter needed data.Mining large (terabyte scale) data sets to obtain actionable business insights or to explain business patternsDevelop, train, educate others in Statistical Sciences and other technical disciplines in research and business on the use of data mining methods and tools.",1
"Qualified candidates are encouraged to apply directly to this job posting. Â Direct email and phone calls are not being considered. Thank you for your cooperation. Â Please no recruiters.IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities:Â Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate.Â Participate in small construction projects.Â  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required.",1
"Qualified candidates are encouraged to apply directly to this job posting. Direct email and phone calls are not being considered. Thank you for your cooperation. Please no recruiters.Communications Manager | New York, NY, United StatesJOB DESCRIPTION:We help brand advertisers, agencies, publishers and ad networks intelligently, effectively and safely plan, buy and measure billions of video ad trades programmatically every month across Web, mobile and linear TV. #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#â€™s marketing and communications group works closely together and with colleagues across all departments to create, package and communicate the companyâ€™s market leadership around the world. We have a passion for telling the right story to the right people at the right time, and if youâ€™d like to be part of the worldâ€™s greatest marketing and communications team, come tell us your story. The Communications Manager will be based in #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#â€™s New York City offices and report to our Director of Communications. While contributing to our overall global communications strategy across APAC and EMEA regions, the position will focus on the North American market. We are especially looking for creative writers who have the ability to explain complex ideas in simple ways and who are driven to making big ideas into reality. As such, you should have a solid understanding of the media and technology space, including industry trends and key players. Responsibilities for this critical position include:- Manage and execute on a strategic editorial and communications calendar that amplifies our presence at industry events and in key target media; - Writing, and lots of it. From press releases to copyediting and copywriting assignments, youâ€™ll be doing a bit of everything that involves the written word- Proactive approach to content; bring new ideas to the table and make them come to life.- Demonstrate business impact of marketing and communications using existing and new digital and social media platforms (with a focus on Twitter, LinkedIn and Facebook)- Cultivate existing and develop new relationships with trade, business and tech media outlets, and position #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#â€™s executives as thought leaders on a number of relevant topics- Support for traditional PR and digital media programs internally and externally",1
"Director of Engineering | HMA Security ProductsSan Jose, CAReporting to the VP of Service Provider Engineering, the Director of Engineering will have responsibility for managing the successful development and deployment of the companyâ€™s Security products and solutions.The individual will manage a focused team of engineers in addition to leading and directing numerous outside technology partners. This includes partnerships with chip set providers, ODMs, new technology start-ups, and 3rd party software providers. As the engineering leader, the individual will work closely with the product marketing team in generating the roadmap of products and solutions that will need to be developed. The Director of Engineering and their team of engineers will then be responsible for determining the best engineering approach to realizing that roadmap, including product architectures, selection of technology partners, resource planning, test planning, product scheduling, costing, and NPI planning. The individual will then manage the team and external partners to ensure the project objectives are met.The Director of Engineering will work closely with customers to get products certified and approved for use.Â  Once introduced, the Engineering Manager will work closely with the sales and technical support to ensure customer satisfaction and product quality objectives are being met.Â Job ResponsibilitiesAbility to be both a strong Manager and technical leader for the group, with strong domain/forum knowledge of Security products, tables, routers, wireless, and hands-on IP networking experience.Â  VoIP experience an advantage.Ideally be known-in and reputable within the networking Industry.10+ years of demonstrable success of strong engineering management background in communications networking hardware and software utilizing Test Driven DevelopmentDemonstrated understanding and skills in project and program management, risk management, including 3rd partiesDemonstrated success in developing products by utilizing outside company resources and partnerships.Â  Experience with ODM developments an advantageCan attract, motivate and retain top caliber engineers for the organization.One whom customers and technology partners find credible and look to for direction.5 or more years experience working for a small company, in addition to 5 or more years experience working for a larger more mature market leader.Team player who can effectively work with the cross functional team, and can effectively communicate throughout all levels of the organization.An understanding and desire of how to continuously improve product quality. Demonstrated ability to use lightweight processes to improve engineering results.Can stay on top of and apply the latest technology trends and engineering processes for the organization.Â ",1
"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureWe are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future. Aker Solutions is a world leading supplier of subsea pumping, compression, processing and power distribution systems for the subsea oil and gas industry. Currently we are realising the Ã…sgard Subsea Compression System ready to start up in 2015. We see a development of market opportunities, where even more processing systems are moved subsea establishing the future subsea factory. Aker Solutions will split into two companies, one that will retain the Aker Solutions name and will focus on the subsea business and field design and a new oil-services investment company named Akastor consisting of six businesses that will be run independently.Aker SolCorporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureWe are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future. Aker Solutions is a world leading supplier of subsea pumping, compression, processing and power distribution systems for the subsea oil and gas industry. Currently we are realising the Ã…sgard Subsea Compression System ready to start up in 2015. We see a development of market opportunities, where even more processing systems are moved subsea establishing the future subsea factory. Aker Solutions will split into two companies, one that will retain the Aker Solutions name and will focus on the subsea business and field design and a new oil-services investment company named Akastor consisting of six businesses that will be run independently.Aker Solutionsâ€™ subsea power and process unit is continuously improving solutions realising the subsea factory. We are looking for highly motivated and creative engineers capable of shaping this future.We have several open positions at Houston, TX within subsea processing - separation, compression, and power systems. We need you to join the team in developing subsea processing solutions including separation, compression, flow assurance and pumps.Responsibilities and tasks â€¢ Take lead and be a driving force within Subsea Factory technology and concept developments from idea to market.â€¢ Lead the subsea process plant discipline in projects and studies. â€¢ Develop conceptual subsea process system layout and modularisation philosophy in projects and studies. â€¢ Present and promote subsea process plant layout solutions internally and in customer meetings.",1
"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions Houston (ASH) is established for the purpose of creating value for clients and owners by providing superior customer service to operators within the oil and gas industry. Superior customer service will be achieved through continual improvement, leadership involvement, demonstration of initiative, proactive anticipation of client demands, diligent attention to detail, and an effective HSE program designed to identify, report, and prevent unwanted conditions. ASH shall be a good corporate citizen acting in line with the interests of the US Authorities and the general public.Responsibilities and tasksObjectives:Ensure the preparation, planning and execution of operations to be performed either by Aker Solutions Houston or by subcontracted staff in the offshore team.Responsibilities/Activities:Operations:â€¢ Organise and perform offshore operations on-site.â€¢ Ensure that all maintenance and repair on facilities and equipment is carried out safely, efficiently and in full compliance with company operating procedures and statutory laws so that they remain in perfect and safe working conditions.â€¢ Review and maintain installation procedures.â€¢ Carry out other activities as designated by the line manager.â€¢ Conduct any activity within the scope of the post holderâ€™s competences.â€¢ In the event of a system failure, take charge of systems for which the post holder is responsible until normal operation is restored.Team Coordination:â€¢ Work with the team to assist specialized staff working offshore.â€¢ Manage and participate in the installation of equipment delivered by Aker Solutions Houston.â€¢ Coordinate all team employees, including sub-suppliers, where appropriate.â€¢ Be present at shift-change meetings.â€¢ Maintain good customer communication.â€¢ Ensure daily communications with Onshore Operations.â€¢ Manage the team of technicians for which the post holder is responsible.Administrative Activities:â€¢ Write reports in accordance with the procedure reports.â€¢ Record offshore activities on the applicable form, including the completion of the following forms as needed: Meeting report &amp; Incident report.â€¢ Update and archive all reports in binders provided by Aker Solutions Houston Onshore Support (to be delivered to Aker Solutions Houston once the installation is concluded).â€¢ Ensure that time sheets are signed by the customer before team members leave the platform.â€¢ Ensure that overtime has been authorised by the customer and recorded on the time sheets.â€¢ Establish a convenient time with the customer for trainees to work offshore (this should be coordinated with the line manager).",1
"Qualified candidates are encouraged to apply directly to this job posting. Â Direct email and phone calls are not being considered. Thank you for your cooperation. Â Please no recruiters. Â Communications Manager |Â New York, NY, United StatesJOB DESCRIPTION:We help brand advertisers, agencies, publishers and ad networks intelligently, effectively and safely plan, buy and measure billions of video ad trades programmatically every month across Web, mobile and linear TV. #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#â€™s marketing and communications group works closely together and with colleagues across all departments to create, package and communicate the companyâ€™s market leadership around the world. We have a passion for telling the right story to the right people at the right time, and if youâ€™d like to be part of the worldâ€™s greatest marketing and communications team, come tell us your story.Â  Â  The Communications Manager will be based in #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#â€™s New York City offices and report to our Director of Communications. While contributing to our overall global communications strategy across APAC and EMEA regions, the position will focus on the North American market.Â  We are especially looking for creative writers who have the ability to explain complex ideas in simple ways and who are driven to making big ideas into reality. As such, you should have a solid understanding of the media and technology space, including industry trends and key players.Â  Â Responsibilities for this critical position include:Â  - Manage and execute on a strategic editorial and communications calendar that amplifies our presence at industry events and in key target media;Â  - Writing, and lots of it. From press releases to copyediting and copywriting assignments, youâ€™ll be doing a bit of everything that involves the written word - Proactive approach to content; bring new ideas to the table and make them come to life. - Demonstrate business impact of marketing and communications using existing and new digital and social media platforms (with a focus on Twitter, LinkedIn and Facebook) - Cultivate existing and develop new relationships with trade, business and tech media outlets, and position #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#â€™s executives as thought leaders on a number of relevant topics - Support for traditional PR and digital media programs internally and externallyÂ ",1
"As Director of Software Engineering's newly forming New York development team, you will be a â€œplayer-coachâ€ who will contribute to and drive high-level architecture and planning, manage day-to-day issues, as well as roll up your sleeves and code when necessary. Responsibilities:Â Inspire, mentor and lead our superb 30+ person engineering team using your experience and deep understanding of both leading-edge technologies and of motivation and leadership;Drive the aggressive growth and organization of Software Engineering as we double in size again over the next year;Contribute new technical insights and help decide design directions, while preserving the core cultural values that define #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e# Engineering today, including: high level of personal performance; mutual trust; taking personal responsibility; flat &amp; informal organization; integrity; and a mutually supportive environment.",1
"Ref: HOVER-ORC-B55UK07-14Hotel Verta, a luxury boutique hotel located on the River Thames, is the smart choice for an truly memorable London stay. Offering all the facilities you would expect from a deluxe Central London hotel, but located just outside the hustle and bustle of the city centre means we can offer so much more for so much less.Easily accessible, located just outside the congestion zone with ample onsite parking, and Hotel Verta is the hidden gem that enables you to save on rate without compromising on luxury on your stay in London.As part of our expansion activities, we welcome applications from suitably qualified candidates for a possible job placement here at the Hotel Verta. We currently seek candidates with initiatives who takes pride in their work and with prior experience. Opportunities exist across all areas of the hotel.Reception Manager, Restaurant &amp; Bar Manager, Entertainment Manager, Operations Manager, Sales/Marketing Manager, Account &amp; Finance Manager, Food &amp; Catering Manager, Casino Manager, Business Analyst, Human Resources Assistant, Guest Relations (Host), Secretary, Office Assistant, Receptionist, Front Desk Attendant, Account/Finance Officer, Sales/Marketing Officer, Cashier, Computer Operator, Internet Expert, System Administrator, Bartender, Barman, Chefs (Chef de Partie, Commis Chef &amp; Sous Chef), Banquet Coordinator, Medical Officer(Nurse/Doctor), Language Translator/Interpreter, Safety Officer, Spa (Receptionist, Therapist &amp; Manager), Beauty Therapist, Cafe Attendant, Events Sales Coordinator, Security Supervisor, Security Officer, Housekeeping Supervisor, Head Housekeeper, Maintenance Technician (Electrical &amp; Mechanical), Maintenance Assistant, Conference &amp; Event Planner, Food &amp; Beverage Supervisor, Room Attendant, Lobby Executive &amp; Assistant, Store Keeper, DriverJOB TYPE: PermanentJOB STATUS: Full TimeJOB LOCATION: London, United Kingdom",1
"Senior System Test Engineer | San Jose, CAAs a member of the Service Provider Engineering team, you will be responsible for the design quality of DSL products with specific emphasis on IADs (VoIP).Â  Â  Our DSL and Cable broadband products address Home Gateway, IPTV and Voice over IP (VoIP) services and are targeted at service providers.Â  These products will incorporate one or several of the following technologies:Â  DSL, PPPoX, DNS/DHCP, IP, SIP, IGMP, 802.11 Wireless, Ethernet, VPN, Firewalls, 3G / LTE.Job ResponsibilitiesMonitor and oversee the ODM quality processes and QA test, and verify test coverage.Work within the engineering development organization to verify the design quality of DSL products.Perform product testing to verify product performance and diagnose product defects.Perform verification and regression testing for bug fixes.Â  Log, track and drive to closure all bugs directly with overseas developers.Develop test plans from requirements and supervise QA testing both within our company and in overseas supplierâ€™s labs.Set up and maintain in-house DSL, 3G / LTE, VoIP and IPTV Network test bedMonitor/Manage qualification of products with customers and understand customer requirements and test plans.Create additional test cases as required to cover customerâ€™s requirements.Send regular Test Status Reports to product team with metrics to indicate overall test progress and product maturity.Provide input for manuals, help files, application notes and tech support web pagesSupport any 3rd level technical escalations from our technical support.Evaluate new products and reference designs.",1
"Director of Engineering HMA Securities Products | San Jose, CAReporting to the VP of Service Provider Engineering, the Director of Engineering will have responsibility for managing the successful development and deployment of the companyâ€™s Security products and solutions.The individual will manage a focused team of engineers in addition to leading and directing numerous outside technology partners. This includes partnerships with chip set providers, ODMs, new technology start-ups, and 3rd party software providers. As the engineering leader, the individual will work closely with the product marketing team in generating the roadmap of products and solutions that will need to be developed. The Director of Engineering and their team of engineers will then be responsible for determining the best engineering approach to realizing that roadmap, including product architectures, selection of technology partners, resource planning, test planning, product scheduling, costing, and NPI planning. The individual will then manage the team and external partners to ensure the project objectives are met.The Director of Engineering will work closely with customers to get products certified and approved for use.Â  Once introduced, the Engineering Manager will work closely with the sales and technical support to ensure customer satisfaction and product quality objectives are being met.Job ResponsibilitiesAbility to be both a strong Manager and technical leader for the group, withÂ strong domain/forum knowledgeof Security products, tables, routers, wireless, and hands-on IP networking experience.Â  VoIP experience an advantage.Ideally be known-in and reputable within the networking Industry.10+ years of demonstrable success of strong engineering management background in communications networking hardware and software utilizing Test Driven DevelopmentDemonstrated understanding and skills in project and program management, risk management, including 3rd partiesDemonstrated success in developing products by utilizing outside company resources and partnerships.Â  Experience with ODM developments an advantageCan attract, motivate and retain top caliber engineers for the organization.One whom customers and technology partners find credible and look to for direction.5 or more years experience working for a small company, in addition to 5 or more years experience working for a larger more mature market leader.Team player who can effectively work with the cross functional team, and can effectively communicate throughout all levels of the organization.An understanding and desire of how to continuously improve product quality. Demonstrated ability to use lightweight processes to improve engineering results.Can stay on top of and apply the latest technology trends and engineering processes for the organization.Â ",1
"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Responsibilities and tasksâ€¢ Performing analyses; FE analysis (Abaqus) and hand calculationsâ€¢ Writing reports according to requirementsâ€¢ Development of best practices and guidelinesâ€¢ Act as peer reviewer for colleaguesâ€¢ Act as Lead Simulation Engineer in projectsâ€¢ Keeping a close communication with the design resource of the componentâ€¢ Giving status reports to project lead engineers or equivalentâ€¢ Performing analysis according to correct standards and best practicesâ€¢ Define needs for best practices and guidelines and create them accordinglyâ€¢ Contribute to method development within the team",1
"CASH In Hand Job (Part-Time Staff Needed)You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $400 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",1
"Position : Sr IT Solution Ownerâ€”SAPJob Type : Full TimeJob Location : United States-Washingtonâ€“BellevueUs work status required : H1B ,EAD ,Green Card,US Citizens Â Qualifications:Â 5+ years of IT solution leadership experienceExperience working with SAP, Ariba and OpenText solutionsExperience with Source-to-Pay business operations and processesAbility to work independently and support multiple projects while meeting tight deadlinesProven ability to solve problems creatively and resourcefully.Excellent organizational and time-management skills.Proficient with MS Office Programs and aptitude for learning new software quicklyProven record of demonstrating proper judgment in managing difficult situations.Expert communicator who can lead and manage senior level relationships across organizational boundaries.Understanding of the way in which IT teams need to interact with business teams in order to make both successful.Â  Experience in developing senior-level relationships within the business teams and leveraging these relationships to ensure success.Demonstrated working experience an SAP enterprise footprint that supports core Supply Chain business functions (e.g., procure-to-pay, supplier relationship management), e-sourcing, etc.)Â  in accordance with SAP and industry best practices.Working knowledge of SAP technologies, platforms and standards including (e.g.) ECC, Solution Manager, BW and SRM.Working knowledge of other Supply Chain technologies, such as JDA planning systems and OpenText VIM invoice management solution.Demonstrated experience approaching technical and business solutions in a Consultative manner.Experience :Minimum of 5+ years in an Information Technology leadership role with the following:Experience in successfully developing and executing strategy for leading and operating SAP ERP systems and other Supply Chain systems.Track record of success in managing Supply Chain solutions in retail and/or wireless services markets.Experience in managing relationships with business team executives at Sr. Manager, Director, VP and SVP level.Experience in developing and maintaining architecture for SAP and ERP systems in alignment with business strategy.ResponsibilitiesÂ Analyzes complex business needs presented by the Procurement, AP, Finance and Legal user community and/or clients and recommends technical solutions.Approves all business requirements prior to the technical solution.Ensures the consistency and maintainability of existing applications by creating, maintaining, and enforcing standards/procedures for implementing technical solutions.Directs operations in executing production tasks according to a documented schedule that meets or exceeds customer expectations.Works with Delivery Managers and Project Managers to produce detailed timeline for each assigned project and implements effective project controls by monitoring the progress and reporting the status.Directs and prioritizes the work load of personnel assigned to the project.Represents the IT function at customer review meetings.Performs liaison duties between users, operations, and programming personnel in the areas of systems design, modifications or trouble shooting.Work with business teams and other EIT teams to align on priorities and deliver against these priorities.",1
"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future.Aker Solutions' Subsea team based in Houston, TX is responsible for design, engineering, procurement and assembly/test of complex subsea systems. We need new talents who can strengthen our team and support our ambitious growth plans within the subsea market. We are looking for: Assembly &amp; Test Engineer.Responsibilities and tasks â€¢ Assembly and Test Engineer initiates work tasks to be carried out by the workshop, follows the quality standards and plans the use of resources in order to increase the efficiency of the organizationâ€¢ Responsible for delivering on time according to plans and manages the day-to-day work tasks in a cost effective, safe, and efficient mannerâ€¢ Create work orders and issue work packages in accordance with contract/project requirements and according to procedureâ€¢ Arrange and call for pre-job meeting with work shop personnel â€¢ Participate on hand-over (tool box) meetings in work shopâ€¢ Responsible for updating work packages related to specific project needsor NCR (CQN) reportsâ€¢ Follow-up progress in workshop and respond without delay on requests for supportâ€¢ Making requisitions towards supply chain to handle unplanned activitiesâ€¢ Inform project manager or line manager when Variation Orders is required, for additional work on existing SOW or when change in original SOWâ€¢ Continuously verify that all relevant documents are completed according to job package procedure â€¢ Evaluate the risk of operations and the compliance with laws, standards and policiesâ€¢ Participates in SAFOP/SJA and other HSE related activities in WSâ€¢ Make sure that special tools and equipment to the planned work (according to work order/package) in assigned projects are available and certified â€¢ Control/monitor that necessary materials are received and in place before start of assembly and testâ€¢ Contribute to the design and improvement of special tools to perform the work in the workshopâ€¢ Inform and if applicable submit formal status reports to project manager on assigned work tasks/SOW â€¢ Write NCRs when deviation is detectedâ€¢ Provide Project manager with input to lessons learnedâ€¢ Participate and contribute with expertise in Tender work",1
"We are looking for top ranked Technical Recruiters to join our network ofÂ trusted Recruiting &amp; Talent Acquisition Professionals. Approved members of the network will be ranked and reviewed by previous Hiring Managers and/or candidates of whom they have placed, providing transparency and regulation to the talent acquisition process. Â Upon Approval, Recruiters will be listed on the network outlining your strengths, geographical preferences and area of focus and will then be paired up with Startup, VCs and Hiring Companies/Managers who are looking to build a Technical Team comprised of talent suited for your areas of expertise.Â Candidates will also be referred to, and paired with networked Recruiters whom demonstrate skill-sets, experience and career goals aligning with Recruiters area of expertise Â Both Recruiters &amp; Hiring Managers will be granted access to the ATS (Applicant Tracking System) for easy collaboration, review of notes and progress on potential candidates.Recruiters are equipped with cutting edge technology, continued training &amp; education, assessment tools and sourcing subscriptions so they may execute effectively &amp; efficiently and also collaborate with other networked recruiters, maximizing talent reach. Â Â Our proven, science-based predictive hiring analysis and video interviewing platform will also be granted to Recruiters as part of their toolbox and will be a part of the talent acquisition workflow. Â All intelligence gather will then be presented to the Hiring Manager as part of the Candidate Profile and all represented candidates areÂ backed by ourÂ 100% Candidate Guarantee. Every placement. Every time. Â  Â ",1
